城市,特征,重要性,更新时间
开封,工作日,0.0772,2026-04-15 13:41:29
张家口,湿度,0.6831,2026-04-15 13:41:29
张家口,温度,0.6721,2026-04-15 13:41:29
张家口,风速,0.5433,2026-04-15 13:41:29
张家口,AQI_roll_mean_3,0.4797,2026-04-15 13:41:29
张家口,AQI_lag_1,0.4198,2026-04-15 13:41:29
张家口,降水量,0.3714,2026-04-15 13:41:29
张家口,小时,0.3668,2026-04-15 13:41:29
张家口,AQI_lag_2,0.3281,2026-04-15 13:41:29
张家界,湿度,0.6802,2026-04-15 13:41:29
张家界,温度,0.6511,2026-04-15 13:41:29
张家界,风速,0.5593,2026-04-15 13:41:29
张家界,AQI_roll_mean_3,0.4342,2026-04-15 13:41:29
张家界,小时,0.3988,2026-04-15 13:41:29
张家界,AQI_lag_2,0.3565,2026-04-15 13:41:29
张家界,AQI_lag_1,0.3413,2026-04-15 13:41:29
张家界,降水量,0.106,2026-04-15 13:41:29
张掖,湿度,0.6898,2026-04-15 13:41:29
张掖,温度,0.673,2026-04-15 13:41:29
张掖,风速,0.5713,2026-04-15 13:41:29
张掖,AQI_roll_mean_3,0.4736,2026-04-15 13:41:29
张掖,小时,0.4063,2026-04-15 13:41:29
张掖,AQI_lag_1,0.3922,2026-04-15 13:41:29
张掖,AQI_lag_2,0.3902,2026-04-15 13:41:29
张掖,降水量,0.2831,2026-04-15 13:41:29
徐州,湿度,0.6915,2026-04-15 13:41:29
徐州,温度,0.6604,2026-04-15 13:41:29
徐州,风速,0.5069,2026-04-15 13:41:29
徐州,AQI_roll_mean_3,0.5004,2026-04-15 13:41:29
徐州,AQI_lag_1,0.4385,2026-04-15 13:41:29
徐州,AQI_lag_2,0.4368,2026-04-15 13:41:29
徐州,小时,0.4059,2026-04-15 13:41:29
徐州,降水量,0.0798,2026-04-15 13:41:29
德宏傣族景颇族自治州,湿度,0.6538,2026-04-15 13:41:29
德宏傣族景颇族自治州,温度,0.633,2026-04-15 13:41:29
德宏傣族景颇族自治州,风速,0.5469,2026-04-15 13:41:29
德宏傣族景颇族自治州,AQI_roll_mean_3,0.4323,2026-04-15 13:41:29
德宏傣族景颇族自治州,小时,0.3996,2026-04-15 13:41:29
德宏傣族景颇族自治州,AQI_lag_1,0.3852,2026-04-15 13:41:29
德宏傣族景颇族自治州,AQI_lag_2,0.3003,2026-04-15 13:41:29
德宏傣族景颇族自治州,气压,0.0723,2026-04-15 13:41:29
德州,湿度,0.6948,2026-04-15 13:41:29
德州,温度,0.689,2026-04-15 13:41:29
德州,风速,0.5115,2026-04-15 13:41:29
德州,AQI_roll_mean_3,0.4989,2026-04-15 13:41:29
德州,小时,0.4358,2026-04-15 13:41:29
德州,AQI_lag_1,0.4319,2026-04-15 13:41:29
德州,AQI_lag_2,0.377,2026-04-15 13:41:29
德州,降水量,0.1005,2026-04-15 13:41:29
德阳,湿度,0.697,2026-04-15 13:41:29
德阳,温度,0.6848,2026-04-15 13:41:29
德阳,风速,0.5378,2026-04-15 13:41:29
德阳,AQI_roll_mean_3,0.4896,2026-04-15 13:41:29
德阳,小时,0.4486,2026-04-15 13:41:29
德阳,AQI_lag_1,0.4196,2026-04-15 13:41:29
德阳,AQI_lag_2,0.3707,2026-04-15 13:41:29
德阳,工作日,0.0771,2026-04-15 13:41:29
忻州,湿度,0.6846,2026-04-15 13:41:29
忻州,温度,0.6508,2026-04-15 13:41:29
忻州,风速,0.5958,2026-04-15 13:41:29
忻州,AQI_roll_mean_3,0.4065,2026-04-15 13:41:29
忻州,小时,0.3781,2026-04-15 13:41:29
忻州,AQI_lag_2,0.3735,2026-04-15 13:41:29
忻州,AQI_lag_1,0.3564,2026-04-15 13:41:29
忻州,降水量,0.1906,2026-04-15 13:41:29
怀化,湿度,0.6697,2026-04-15 13:41:29
怀化,温度,0.6612,2026-04-15 13:41:29
怀化,风速,0.5353,2026-04-15 13:41:29
怀化,AQI_lag_1,0.4523,2026-04-15 13:41:29
怀化,AQI_roll_mean_3,0.4413,2026-04-15 13:41:29
怀化,小时,0.4384,2026-04-15 13:41:29
怀化,AQI_lag_2,0.3501,2026-04-15 13:41:29
怀化,降水量,0.0789,2026-04-15 13:41:29
怒江傈僳族自治州,湿度,0.6788,2026-04-15 13:41:29
怒江傈僳族自治州,温度,0.6671,2026-04-15 13:41:29
怒江傈僳族自治州,风速,0.5794,2026-04-15 13:41:29
怒江傈僳族自治州,AQI_roll_mean_3,0.4866,2026-04-15 13:41:29
怒江傈僳族自治州,AQI_lag_2,0.4229,2026-04-15 13:41:29
怒江傈僳族自治州,小时,0.4145,2026-04-15 13:41:29
怒江傈僳族自治州,AQI_lag_1,0.4067,2026-04-15 13:41:29
怒江傈僳族自治州,降水量,0.0787,2026-04-15 13:41:29
恩施土家族苗族自治州,湿度,0.6702,2026-04-15 13:41:29
恩施土家族苗族自治州,温度,0.6464,2026-04-15 13:41:29
恩施土家族苗族自治州,风速,0.5777,2026-04-15 13:41:29
恩施土家族苗族自治州,AQI_roll_mean_3,0.4462,2026-04-15 13:41:29
恩施土家族苗族自治州,AQI_lag_2,0.4166,2026-04-15 13:41:29
恩施土家族苗族自治州,小时,0.3909,2026-04-15 13:41:29
恩施土家族苗族自治州,AQI_lag_1,0.3803,2026-04-15 13:41:29
恩施土家族苗族自治州,工作日,0.0386,2026-04-15 13:41:29
惠州,湿度,0.6513,2026-04-15 13:41:29
惠州,温度,0.618,2026-04-15 13:41:29
惠州,风速,0.5351,2026-04-15 13:41:29
惠州,AQI_roll_mean_3,0.3749,2026-04-15 13:41:29
惠州,小时,0.3632,2026-04-15 13:41:29
惠州,AQI_lag_2,0.3373,2026-04-15 13:41:29
惠州,AQI_lag_1,0.3167,2026-04-15 13:41:29
惠州,工作日,0.0793,2026-04-15 13:41:29
成都,湿度,0.6562,2026-04-15 13:41:29
成都,温度,0.6301,2026-04-15 13:41:29
成都,风速,0.5427,2026-04-15 13:41:29
成都,AQI_roll_mean_3,0.4761,2026-04-15 13:41:29
成都,AQI_lag_2,0.4489,2026-04-15 13:41:29
成都,小时,0.391,2026-04-15 13:41:29
成都,AQI_lag_1,0.3783,2026-04-15 13:41:29
成都,工作日,0.0405,2026-04-15 13:41:29
扬州,湿度,0.675,2026-04-15 13:41:29
扬州,温度,0.6604,2026-04-15 13:41:29
扬州,风速,0.5639,2026-04-15 13:41:29
扬州,AQI_roll_mean_3,0.5051,2026-04-15 13:41:29
扬州,小时,0.4577,2026-04-15 13:41:29
扬州,AQI_lag_2,0.4301,2026-04-15 13:41:29
扬州,AQI_lag_1,0.4072,2026-04-15 13:41:29
扬州,降水量,0.0848,2026-04-15 13:41:29
承德,湿度,0.6473,2026-04-15 13:41:29
承德,温度,0.6185,2026-04-15 13:41:29
承德,风速,0.5001,2026-04-15 13:41:29
承德,AQI_roll_mean_3,0.4662,2026-04-15 13:41:29
承德,小时,0.4255,2026-04-15 13:41:29
承德,AQI_lag_1,0.3927,2026-04-15 13:41:29
承德,AQI_lag_2,0.3655,2026-04-15 13:41:29
承德,降水量,0.2863,2026-04-15 13:41:29
抚州,湿度,0.5975,2026-04-15 13:41:29
抚州,温度,0.5971,2026-04-15 13:41:29
抚州,风速,0.4696,2026-04-15 13:41:29
抚州,AQI_roll_mean_3,0.4295,2026-04-15 13:41:29
抚州,小时,0.4091,2026-04-15 13:41:29
抚州,AQI_lag_2,0.345,2026-04-15 13:41:29
抚州,AQI_lag_1,0.3321,2026-04-15 13:41:29
抚州,工作日,0.1072,2026-04-15 13:41:29
抚顺,湿度,0.6504,2026-04-15 13:41:29
抚顺,温度,0.639,2026-04-15 13:41:29
抚顺,风速,0.5642,2026-04-15 13:41:29
抚顺,AQI_roll_mean_3,0.4554,2026-04-15 13:41:29
抚顺,AQI_lag_1,0.415,2026-04-15 13:41:29
抚顺,小时,0.3876,2026-04-15 13:41:29
抚顺,AQI_lag_2,0.3636,2026-04-15 13:41:29
抚顺,降水量,0.3405,2026-04-15 13:41:29
拉萨,湿度,0.7244,2026-04-15 13:41:29
拉萨,温度,0.7109,2026-04-15 13:41:29
拉萨,风速,0.5466,2026-04-15 13:41:29
拉萨,AQI_roll_mean_3,0.5464,2026-04-15 13:41:29
拉萨,AQI_lag_1,0.4982,2026-04-15 13:41:29
拉萨,AQI_lag_2,0.4397,2026-04-15 13:41:29
拉萨,小时,0.4278,2026-04-15 13:41:29
拉萨,气压,0.0931,2026-04-15 13:41:29
揭阳,湿度,0.6799,2026-04-15 13:41:29
揭阳,温度,0.6526,2026-04-15 13:41:29
揭阳,风速,0.6011,2026-04-15 13:41:29
揭阳,AQI_roll_mean_3,0.4746,2026-04-15 13:41:29
揭阳,AQI_lag_1,0.4413,2026-04-15 13:41:29
揭阳,小时,0.3632,2026-04-15 13:41:29
揭阳,AQI_lag_2,0.3397,2026-04-15 13:41:29
揭阳,工作日,0.0931,2026-04-15 13:41:29
攀枝花,湿度,0.6615,2026-04-15 13:41:29
攀枝花,温度,0.6559,2026-04-15 13:41:29
攀枝花,风速,0.5322,2026-04-15 13:41:29
攀枝花,AQI_roll_mean_3,0.5089,2026-04-15 13:41:29
攀枝花,AQI_lag_2,0.4139,2026-04-15 13:41:29
攀枝花,AQI_lag_1,0.4101,2026-04-15 13:41:29
攀枝花,小时,0.3983,2026-04-15 13:41:29
攀枝花,工作日,0.0744,2026-04-15 13:41:29
文山壮族苗族自治州,湿度,0.6616,2026-04-15 13:41:29
文山壮族苗族自治州,温度,0.6548,2026-04-15 13:41:29
文山壮族苗族自治州,风速,0.4719,2026-04-15 13:41:29
文山壮族苗族自治州,AQI_roll_mean_3,0.4393,2026-04-15 13:41:29
文山壮族苗族自治州,小时,0.431,2026-04-15 13:41:29
文山壮族苗族自治州,AQI_lag_1,0.3789,2026-04-15 13:41:29
文山壮族苗族自治州,AQI_lag_2,0.3499,2026-04-15 13:41:29
文山壮族苗族自治州,气压,0.1503,2026-04-15 13:41:29
新乡,湿度,0.6603,2026-04-15 13:41:29
新乡,温度,0.6445,2026-04-15 13:41:29
新乡,风速,0.5635,2026-04-15 13:41:29
新乡,AQI_roll_mean_3,0.4635,2026-04-15 13:41:29
新乡,AQI_lag_1,0.4485,2026-04-15 13:41:29
新乡,小时,0.3939,2026-04-15 13:41:29
新乡,AQI_lag_2,0.393,2026-04-15 13:41:29
新乡,工作日,0.0471,2026-04-15 13:41:29
新余,湿度,0.6809,2026-04-15 13:41:29
新余,温度,0.6579,2026-04-15 13:41:29
新余,风速,0.5433,2026-04-15 13:41:29
新余,AQI_roll_mean_3,0.4872,2026-04-15 13:41:29
新余,AQI_lag_1,0.433,2026-04-15 13:41:29
新余,小时,0.4186,2026-04-15 13:41:29
新余,AQI_lag_2,0.3158,2026-04-15 13:41:29
新余,降水量,0.0962,2026-04-15 13:41:29
无锡,湿度,0.6898,2026-04-15 13:41:29
无锡,温度,0.6751,2026-04-15 13:41:29
无锡,风速,0.5359,2026-04-15 13:41:29
无锡,AQI_roll_mean_3,0.4789,2026-04-15 13:41:29
无锡,小时,0.4239,2026-04-15 13:41:29
无锡,AQI_lag_2,0.4171,2026-04-15 13:41:29
无锡,AQI_lag_1,0.4148,2026-04-15 13:41:29
无锡,气压,0.0687,2026-04-15 13:41:29
日喀则,湿度,0.6874,2026-04-15 13:41:29
日喀则,温度,0.6833,2026-04-15 13:41:29
日喀则,风速,0.6265,2026-04-15 13:41:29
日喀则,AQI_roll_mean_3,0.488,2026-04-15 13:41:29
日喀则,小时,0.4053,2026-04-15 13:41:29
日喀则,AQI_lag_2,0.4033,2026-04-15 13:41:29
日喀则,AQI_lag_1,0.3927,2026-04-15 13:41:29
日喀则,气压,0.0706,2026-04-15 13:41:29
日照,湿度,0.6754,2026-04-15 13:41:29
日照,温度,0.6516,2026-04-15 13:41:29
日照,风速,0.6137,2026-04-15 13:41:29
日照,AQI_roll_mean_3,0.4476,2026-04-15 13:41:29
日照,小时,0.3938,2026-04-15 13:41:29
日照,AQI_lag_1,0.3551,2026-04-15 13:41:29
日照,AQI_lag_2,0.2972,2026-04-15 13:41:29
日照,降水量,0.0888,2026-04-15 13:41:29
昆明,湿度,0.6565,2026-04-15 13:41:29
昆明,温度,0.6464,2026-04-15 13:41:29
昆明,风速,0.6121,2026-04-15 13:41:29
昆明,AQI_roll_mean_3,0.4736,2026-04-15 13:41:29
昆明,AQI_lag_1,0.434,2026-04-15 13:41:29
昆明,AQI_lag_2,0.408,2026-04-15 13:41:29
昆明,小时,0.4072,2026-04-15 13:41:29
昆明,降水量,0.1493,2026-04-15 13:41:29
昌吉回族自治州,湿度,0.706,2026-04-15 13:41:29
昌吉回族自治州,温度,0.6891,2026-04-15 13:41:29
昌吉回族自治州,AQI_roll_mean_3,0.54,2026-04-15 13:41:29
昌吉回族自治州,AQI_lag_1,0.5325,2026-04-15 13:41:29
昌吉回族自治州,风速,0.5089,2026-04-15 13:41:29
昌吉回族自治州,小时,0.4887,2026-04-15 13:41:29
昌吉回族自治州,降水量,0.452,2026-04-15 13:41:29
昌吉回族自治州,AQI_lag_2,0.4359,2026-04-15 13:41:29
昌都,湿度,0.635,2026-04-15 13:41:29
昌都,温度,0.5998,2026-04-15 13:41:29
昌都,风速,0.5118,2026-04-15 13:41:29
昌都,小时,0.4776,2026-04-15 13:41:29
昌都,AQI_roll_mean_3,0.3966,2026-04-15 13:41:29
昌都,AQI_lag_2,0.3165,2026-04-15 13:41:29
昌都,AQI_lag_1,0.31,2026-04-15 13:41:29
昌都,降水量,0.0592,2026-04-15 13:41:29
昭通,湿度,0.6835,2026-04-15 13:41:29
昭通,温度,0.665,2026-04-15 13:41:29
昭通,风速,0.5659,2026-04-15 13:41:29
昭通,AQI_roll_mean_3,0.4907,2026-04-15 13:41:29
昭通,小时,0.4576,2026-04-15 13:41:29
昭通,AQI_lag_1,0.4069,2026-04-15 13:41:29
昭通,AQI_lag_2,0.3877,2026-04-15 13:41:29
昭通,气压,0.0672,2026-04-15 13:41:29
晋中,湿度,0.673,2026-04-15 13:41:29
晋中,温度,0.6521,2026-04-15 13:41:29
晋中,风速,0.5959,2026-04-15 13:41:29
晋中,AQI_roll_mean_3,0.4462,2026-04-15 13:41:29
晋中,AQI_lag_1,0.3648,2026-04-15 13:41:29
晋中,小时,0.3643,2026-04-15 13:41:29
晋中,AQI_lag_2,0.3297,2026-04-15 13:41:29
晋中,降水量,0.2289,2026-04-15 13:41:29
晋城,湿度,0.6502,2026-04-15 13:41:29
晋城,温度,0.616,2026-04-15 13:41:29
晋城,风速,0.5869,2026-04-15 13:41:29
晋城,AQI_roll_mean_3,0.4583,2026-04-15 13:41:29
晋城,小时,0.4327,2026-04-15 13:41:29
晋城,AQI_lag_2,0.3821,2026-04-15 13:41:29
晋城,AQI_lag_1,0.3385,2026-04-15 13:41:29
晋城,工作日,0.1025,2026-04-15 13:41:29
普洱,湿度,0.654,2026-04-15 13:41:29
普洱,温度,0.6241,2026-04-15 13:41:29
普洱,风速,0.5292,2026-04-15 13:41:29
普洱,AQI_roll_mean_3,0.3702,2026-04-15 13:41:29
普洱,AQI_lag_2,0.3637,2026-04-15 13:41:29
普洱,小时,0.3337,2026-04-15 13:41:29
普洱,AQI_lag_1,0.2916,2026-04-15 13:41:29
普洱,降水量,0.0229,2026-04-15 13:41:29
景德镇,湿度,0.6672,2026-04-15 13:41:29
景德镇,温度,0.6511,2026-04-15 13:41:29
景德镇,AQI_roll_mean_3,0.5109,2026-04-15 13:41:29
景德镇,风速,0.5024,2026-04-15 13:41:29
景德镇,AQI_lag_1,0.4832,2026-04-15 13:41:29
景德镇,小时,0.429,2026-04-15 13:41:29
景德镇,AQI_lag_2,0.3986,2026-04-15 13:41:29
景德镇,降水量,0.0961,2026-04-15 13:41:29
曲靖,湿度,0.7215,2026-04-15 13:41:29
曲靖,温度,0.6923,2026-04-15 13:41:29
曲靖,风速,0.5815,2026-04-15 13:41:29
曲靖,AQI_roll_mean_3,0.5111,2026-04-15 13:41:29
曲靖,小时,0.4693,2026-04-15 13:41:29
曲靖,AQI_lag_2,0.4529,2026-04-15 13:41:29
曲靖,AQI_lag_1,0.4418,2026-04-15 13:41:29
曲靖,气压,0.0777,2026-04-15 13:41:29
朔州,湿度,0.6673,2026-04-15 13:41:29
朔州,温度,0.6462,2026-04-15 13:41:29
朔州,风速,0.5828,2026-04-15 13:41:29
朔州,AQI_roll_mean_3,0.4773,2026-04-15 13:41:29
朔州,AQI_lag_1,0.3791,2026-04-15 13:41:29
朔州,AQI_lag_2,0.3657,2026-04-15 13:41:29
朔州,小时,0.3407,2026-04-15 13:41:29
朔州,降水量,0.3332,2026-04-15 13:41:29
朝阳,湿度,0.6599,2026-04-15 13:41:29
朝阳,温度,0.652,2026-04-15 13:41:29
朝阳,风速,0.5201,2026-04-15 13:41:29
朝阳,AQI_roll_mean_3,0.4745,2026-04-15 13:41:29
朝阳,AQI_lag_1,0.4006,2026-04-15 13:41:29
朝阳,AQI_lag_2,0.3462,2026-04-15 13:41:29
朝阳,小时,0.3278,2026-04-15 13:41:29
朝阳,降水量,0.3104,2026-04-15 13:41:29
本溪,湿度,0.6749,2026-04-15 13:41:29
本溪,温度,0.6368,2026-04-15 13:41:29
本溪,风速,0.5475,2026-04-15 13:41:29
本溪,AQI_roll_mean_3,0.4288,2026-04-15 13:41:29
本溪,AQI_lag_1,0.402,2026-04-15 13:41:29
本溪,降水量,0.3998,2026-04-15 13:41:29
本溪,AQI_lag_2,0.3612,2026-04-15 13:41:29
本溪,小时,0.313,2026-04-15 13:41:29
来宾,湿度,0.707,2026-04-15 13:41:29
来宾,温度,0.6859,2026-04-15 13:41:29
来宾,风速,0.5223,2026-04-15 13:41:29
来宾,AQI_lag_1,0.5034,2026-04-15 13:41:29
来宾,AQI_roll_mean_3,0.4888,2026-04-15 13:41:29
来宾,小时,0.4121,2026-04-15 13:41:29
来宾,AQI_lag_2,0.3579,2026-04-15 13:41:29
来宾,工作日,0.0971,2026-04-15 13:41:29
杭州,湿度,0.6538,2026-04-15 13:41:29
杭州,温度,0.6176,2026-04-15 13:41:29
杭州,风速,0.5315,2026-04-15 13:41:29
杭州,AQI_lag_1,0.4373,2026-04-15 13:41:29
杭州,AQI_roll_mean_3,0.4162,2026-04-15 13:41:29
杭州,小时,0.4092,2026-04-15 13:41:29
杭州,AQI_lag_2,0.2952,2026-04-15 13:41:29
杭州,降水量,0.0868,2026-04-15 13:41:29
松原,湿度,0.686,2026-04-15 13:41:29
松原,温度,0.6751,2026-04-15 13:41:29
松原,风速,0.5677,2026-04-15 13:41:29
松原,AQI_roll_mean_3,0.4864,2026-04-15 13:41:29
松原,AQI_lag_1,0.4371,2026-04-15 13:41:29
松原,小时,0.4215,2026-04-15 13:41:29
松原,降水量,0.4144,2026-04-15 13:41:29
松原,AQI_lag_2,0.3973,2026-04-15 13:41:29
林芝,湿度,0.6549,2026-04-15 13:41:29
林芝,温度,0.64,2026-04-15 13:41:29
林芝,风速,0.5372,2026-04-15 13:41:29
林芝,AQI_roll_mean_3,0.4192,2026-04-15 13:41:29
林芝,小时,0.406,2026-04-15 13:41:29
林芝,AQI_lag_1,0.3838,2026-04-15 13:41:29
林芝,AQI_lag_2,0.299,2026-04-15 13:41:29
林芝,气压,0.028,2026-04-15 13:41:29
果洛藏族自治州,湿度,0.6987,2026-04-15 13:41:29
果洛藏族自治州,温度,0.6675,2026-04-15 13:41:29
果洛藏族自治州,风速,0.5259,2026-04-15 13:41:29
果洛藏族自治州,AQI_roll_mean_3,0.4801,2026-04-15 13:41:29
果洛藏族自治州,AQI_lag_1,0.4419,2026-04-15 13:41:29
果洛藏族自治州,小时,0.3847,2026-04-15 13:41:29
果洛藏族自治州,AQI_lag_2,0.3389,2026-04-15 13:41:29
果洛藏族自治州,工作日,0.0681,2026-04-15 13:41:29
枣庄,湿度,0.7105,2026-04-15 13:41:29
枣庄,温度,0.7026,2026-04-15 13:41:29
枣庄,风速,0.5854,2026-04-15 13:41:29
枣庄,AQI_lag_1,0.5248,2026-04-15 13:41:29
枣庄,AQI_roll_mean_3,0.5169,2026-04-15 13:41:29
枣庄,AQI_lag_2,0.4516,2026-04-15 13:41:29
枣庄,小时,0.4503,2026-04-15 13:41:29
枣庄,工作日,0.0269,2026-04-15 13:41:29
柳州,湿度,0.7258,2026-04-15 13:41:29
柳州,温度,0.6991,2026-04-15 13:41:29
柳州,风速,0.5253,2026-04-15 13:41:29
柳州,AQI_roll_mean_3,0.5143,2026-04-15 13:41:29
柳州,AQI_lag_1,0.4412,2026-04-15 13:41:29
柳州,小时,0.4324,2026-04-15 13:41:29
柳州,AQI_lag_2,0.4166,2026-04-15 13:41:29
柳州,气压,0.0359,2026-04-15 13:41:29
株洲,湿度,0.7008,2026-04-15 13:41:29
株洲,温度,0.6839,2026-04-15 13:41:29
株洲,风速,0.5819,2026-04-15 13:41:29
株洲,AQI_roll_mean_3,0.4944,2026-04-15 13:41:29
株洲,小时,0.4326,2026-04-15 13:41:29
株洲,AQI_lag_1,0.4203,2026-04-15 13:41:29
株洲,AQI_lag_2,0.4076,2026-04-15 13:41:29
株洲,工作日,0.0195,2026-04-15 13:41:29
桂林,湿度,0.7042,2026-04-15 13:41:29
桂林,温度,0.6751,2026-04-15 13:41:29
桂林,风速,0.6016,2026-04-15 13:41:29
桂林,AQI_roll_mean_3,0.4746,2026-04-15 13:41:29
桂林,小时,0.4389,2026-04-15 13:41:29
桂林,AQI_lag_1,0.4166,2026-04-15 13:41:29
桂林,AQI_lag_2,0.361,2026-04-15 13:41:29
桂林,气压,0.1144,2026-04-15 13:41:29
梅州,湿度,0.6644,2026-04-15 13:41:29
梅州,温度,0.6581,2026-04-15 13:41:29
梅州,风速,0.549,2026-04-15 13:41:29
梅州,AQI_roll_mean_3,0.4908,2026-04-15 13:41:29
梅州,小时,0.4527,2026-04-15 13:41:29
梅州,AQI_lag_1,0.4189,2026-04-15 13:41:29
梅州,AQI_lag_2,0.343,2026-04-15 13:41:29
梅州,气压,0.0975,2026-04-15 13:41:29
梧州,湿度,0.691,2026-04-15 13:41:29
梧州,温度,0.6653,2026-04-15 13:41:29
梧州,风速,0.5937,2026-04-15 13:41:29
梧州,AQI_roll_mean_3,0.4864,2026-04-15 13:41:29
梧州,小时,0.4755,2026-04-15 13:41:29
梧州,AQI_lag_2,0.4084,2026-04-15 13:41:29
梧州,AQI_lag_1,0.4045,2026-04-15 13:41:29
梧州,工作日,0.0705,2026-04-15 13:41:29
楚雄彝族自治州,湿度,0.6591,2026-04-15 13:41:29
楚雄彝族自治州,温度,0.6479,2026-04-15 13:41:29
楚雄彝族自治州,风速,0.565,2026-04-15 13:41:29
楚雄彝族自治州,AQI_roll_mean_3,0.4508,2026-04-15 13:41:29
楚雄彝族自治州,小时,0.3951,2026-04-15 13:41:29
楚雄彝族自治州,AQI_lag_1,0.3883,2026-04-15 13:41:29
楚雄彝族自治州,AQI_lag_2,0.3648,2026-04-15 13:41:29
楚雄彝族自治州,气压,0.1084,2026-04-15 13:41:29
榆林,湿度,0.6447,2026-04-15 13:41:29
榆林,温度,0.6303,2026-04-15 13:41:29
榆林,风速,0.5826,2026-04-15 13:41:29
榆林,AQI_roll_mean_3,0.4608,2026-04-15 13:41:29
榆林,小时,0.4235,2026-04-15 13:41:29
榆林,AQI_lag_1,0.3916,2026-04-15 13:41:29
榆林,AQI_lag_2,0.3804,2026-04-15 13:41:29
榆林,降水量,0.2006,2026-04-15 13:41:29
武威,湿度,0.6448,2026-04-15 13:41:29
武威,温度,0.624,2026-04-15 13:41:29
武威,风速,0.5039,2026-04-15 13:41:29
武威,AQI_roll_mean_3,0.4032,2026-04-15 13:41:29
武威,小时,0.3774,2026-04-15 13:41:29
武威,AQI_lag_2,0.3438,2026-04-15 13:41:29
武威,AQI_lag_1,0.3208,2026-04-15 13:41:29
武威,降水量,0.1958,2026-04-15 13:41:29
武汉,湿度,0.6474,2026-04-15 13:41:29
武汉,温度,0.6236,2026-04-15 13:41:29
武汉,风速,0.5618,2026-04-15 13:41:29
武汉,AQI_roll_mean_3,0.4565,2026-04-15 13:41:29
武汉,小时,0.4289,2026-04-15 13:41:29
武汉,AQI_lag_1,0.4206,2026-04-15 13:41:29
武汉,AQI_lag_2,0.3562,2026-04-15 13:41:29
武汉,工作日,0.0522,2026-04-15 13:41:29
毕节,湿度,0.6858,2026-04-15 13:41:29
毕节,温度,0.6605,2026-04-15 13:41:29
毕节,风速,0.5499,2026-04-15 13:41:29
毕节,AQI_roll_mean_3,0.4632,2026-04-15 13:41:29
毕节,小时,0.4553,2026-04-15 13:41:29
毕节,AQI_lag_1,0.4203,2026-04-15 13:41:29
毕节,AQI_lag_2,0.3594,2026-04-15 13:41:29
毕节,气压,0.0631,2026-04-15 13:41:29
永州,湿度,0.6845,2026-04-15 13:41:29
永州,温度,0.6614,2026-04-15 13:41:29
永州,风速,0.5104,2026-04-15 13:41:29
永州,AQI_roll_mean_3,0.4783,2026-04-15 13:41:29
永州,AQI_lag_1,0.4224,2026-04-15 13:41:29
永州,AQI_lag_2,0.3567,2026-04-15 13:41:29
永州,小时,0.351,2026-04-15 13:41:29
永州,工作日,0.0448,2026-04-15 13:41:29
汉中,湿度,0.6696,2026-04-15 13:41:29
汉中,温度,0.6454,2026-04-15 13:41:29
汉中,风速,0.6012,2026-04-15 13:41:29
汉中,AQI_roll_mean_3,0.4528,2026-04-15 13:41:29
汉中,AQI_lag_2,0.424,2026-04-15 13:41:29
汉中,AQI_lag_1,0.3879,2026-04-15 13:41:29
汉中,小时,0.3863,2026-04-15 13:41:29
汉中,气压,0.0533,2026-04-15 13:41:29
汕头,湿度,0.7387,2026-04-15 13:41:29
汕头,温度,0.6893,2026-04-15 13:41:29
汕头,AQI_roll_mean_3,0.5019,2026-04-15 13:41:29
汕头,风速,0.491,2026-04-15 13:41:29
汕头,AQI_lag_1,0.4896,2026-04-15 13:41:29
汕头,AQI_lag_2,0.4265,2026-04-15 13:41:29
汕头,小时,0.4149,2026-04-15 13:41:29
汕头,气压,0.0467,2026-04-15 13:41:29
汕尾,湿度,0.6562,2026-04-15 13:41:29
汕尾,温度,0.6325,2026-04-15 13:41:29
汕尾,风速,0.5387,2026-04-15 13:41:29
汕尾,AQI_roll_mean_3,0.4207,2026-04-15 13:41:29
汕尾,小时,0.4123,2026-04-15 13:41:29
汕尾,AQI_lag_1,0.3517,2026-04-15 13:41:29
汕尾,AQI_lag_2,0.3195,2026-04-15 13:41:29
汕尾,气压,0.0928,2026-04-15 13:41:29
江门,湿度,0.6074,2026-04-15 13:41:29
江门,温度,0.5955,2026-04-15 13:41:29
江门,风速,0.5637,2026-04-15 13:41:29
江门,AQI_roll_mean_3,0.4231,2026-04-15 13:41:29
江门,小时,0.3922,2026-04-15 13:41:29
江门,AQI_lag_1,0.3145,2026-04-15 13:41:29
江门,AQI_lag_2,0.2954,2026-04-15 13:41:29
江门,气压,0.0975,2026-04-15 13:41:29
池州,湿度,0.7047,2026-04-15 13:41:29
池州,温度,0.6797,2026-04-15 13:41:29
池州,风速,0.5881,2026-04-15 13:41:29
池州,AQI_roll_mean_3,0.5035,2026-04-15 13:41:29
池州,AQI_lag_1,0.4395,2026-04-15 13:41:29
池州,小时,0.4125,2026-04-15 13:41:29
池州,AQI_lag_2,0.4058,2026-04-15 13:41:29
池州,降水量,0.1466,2026-04-15 13:41:29
沈阳,湿度,0.656,2026-04-15 13:41:29
沈阳,温度,0.6277,2026-04-15 13:41:29
沈阳,风速,0.5414,2026-04-15 13:41:29
沈阳,AQI_roll_mean_3,0.4104,2026-04-15 13:41:29
沈阳,小时,0.4081,2026-04-15 13:41:29
沈阳,AQI_lag_1,0.3698,2026-04-15 13:41:29
沈阳,AQI_lag_2,0.3567,2026-04-15 13:41:29
