城市,特征,重要性,更新时间
伊春,风速,0.6336,2026-04-15 13:41:29
伊春,AQI_roll_mean_3,0.4636,2026-04-15 13:41:29
伊春,AQI_lag_2,0.418,2026-04-15 13:41:29
伊春,AQI_lag_1,0.3964,2026-04-15 13:41:29
伊春,小时,0.3921,2026-04-15 13:41:29
伊春,降水量,0.288,2026-04-15 13:41:29
伊犁哈萨克自治州,湿度,0.7017,2026-04-15 13:41:29
伊犁哈萨克自治州,温度,0.6992,2026-04-15 13:41:29
伊犁哈萨克自治州,风速,0.5423,2026-04-15 13:41:29
伊犁哈萨克自治州,AQI_roll_mean_3,0.5157,2026-04-15 13:41:29
伊犁哈萨克自治州,AQI_lag_1,0.4441,2026-04-15 13:41:29
伊犁哈萨克自治州,降水量,0.4344,2026-04-15 13:41:29
伊犁哈萨克自治州,小时,0.4196,2026-04-15 13:41:29
伊犁哈萨克自治州,AQI_lag_2,0.4061,2026-04-15 13:41:29
佛山,湿度,0.6218,2026-04-15 13:41:29
佛山,温度,0.602,2026-04-15 13:41:29
佛山,风速,0.5402,2026-04-15 13:41:29
佛山,小时,0.4167,2026-04-15 13:41:29
佛山,AQI_roll_mean_3,0.4113,2026-04-15 13:41:29
佛山,AQI_lag_2,0.3313,2026-04-15 13:41:29
佛山,AQI_lag_1,0.3196,2026-04-15 13:41:29
佛山,降水量,0.0367,2026-04-15 13:41:29
佳木斯,湿度,0.6659,2026-04-15 13:41:29
佳木斯,温度,0.6598,2026-04-15 13:41:29
佳木斯,风速,0.5824,2026-04-15 13:41:29
佳木斯,AQI_roll_mean_3,0.4665,2026-04-15 13:41:29
佳木斯,AQI_lag_1,0.4212,2026-04-15 13:41:29
佳木斯,小时,0.3955,2026-04-15 13:41:29
佳木斯,降水量,0.3888,2026-04-15 13:41:29
佳木斯,AQI_lag_2,0.3807,2026-04-15 13:41:29
保定,湿度,0.7066,2026-04-15 13:41:29
保定,温度,0.6802,2026-04-15 13:41:29
保定,风速,0.5579,2026-04-15 13:41:29
保定,AQI_roll_mean_3,0.4905,2026-04-15 13:41:29
保定,AQI_lag_1,0.4269,2026-04-15 13:41:29
保定,小时,0.389,2026-04-15 13:41:29
保定,AQI_lag_2,0.3709,2026-04-15 13:41:29
保定,降水量,0.3052,2026-04-15 13:41:29
保山,湿度,0.6762,2026-04-15 13:41:29
保山,温度,0.6482,2026-04-15 13:41:29
保山,风速,0.5298,2026-04-15 13:41:29
保山,AQI_roll_mean_3,0.4232,2026-04-15 13:41:29
保山,AQI_lag_1,0.4213,2026-04-15 13:41:29
保山,小时,0.3837,2026-04-15 13:41:29
保山,AQI_lag_2,0.3326,2026-04-15 13:41:29
保山,气压,0.1163,2026-04-15 13:41:29
信阳,湿度,0.6832,2026-04-15 13:41:29
信阳,温度,0.644,2026-04-15 13:41:29
信阳,风速,0.5283,2026-04-15 13:41:29
信阳,AQI_roll_mean_3,0.4648,2026-04-15 13:41:29
信阳,AQI_lag_1,0.4434,2026-04-15 13:41:29
信阳,AQI_lag_2,0.3569,2026-04-15 13:41:29
信阳,小时,0.3454,2026-04-15 13:41:29
信阳,降水量,0.0608,2026-04-15 13:41:29
儋州,湿度,0.6812,2026-04-15 13:41:29
儋州,温度,0.6452,2026-04-15 13:41:29
儋州,风速,0.6375,2026-04-15 13:41:29
儋州,AQI_roll_mean_3,0.4521,2026-04-15 13:41:29
儋州,小时,0.3867,2026-04-15 13:41:29
儋州,AQI_lag_1,0.3828,2026-04-15 13:41:29
儋州,AQI_lag_2,0.3656,2026-04-15 13:41:29
儋州,工作日,0.1039,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,湿度,0.659,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,温度,0.6467,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,风速,0.6015,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,AQI_lag_1,0.4684,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,AQI_roll_mean_3,0.4499,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,小时,0.4075,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,AQI_lag_2,0.3337,2026-04-15 13:41:29
克孜勒苏柯尔克孜自治州,降水量,0.2947,2026-04-15 13:41:29
克拉玛依,湿度,0.6752,2026-04-15 13:41:29
克拉玛依,温度,0.6572,2026-04-15 13:41:29
克拉玛依,风速,0.5926,2026-04-15 13:41:29
克拉玛依,AQI_roll_mean_3,0.4495,2026-04-15 13:41:29
克拉玛依,AQI_lag_1,0.4141,2026-04-15 13:41:29
克拉玛依,降水量,0.4134,2026-04-15 13:41:29
克拉玛依,小时,0.3869,2026-04-15 13:41:29
克拉玛依,AQI_lag_2,0.3226,2026-04-15 13:41:29
六安,湿度,0.7111,2026-04-15 13:41:29
六安,温度,0.6872,2026-04-15 13:41:29
六安,风速,0.6121,2026-04-15 13:41:29
六安,AQI_roll_mean_3,0.4819,2026-04-15 13:41:29
六安,小时,0.4371,2026-04-15 13:41:29
六安,AQI_lag_1,0.4178,2026-04-15 13:41:29
六安,AQI_lag_2,0.4176,2026-04-15 13:41:29
六安,降水量,0.0642,2026-04-15 13:41:29
六盘水,湿度,0.6932,2026-04-15 13:41:29
六盘水,温度,0.6642,2026-04-15 13:41:29
六盘水,风速,0.5972,2026-04-15 13:41:29
六盘水,AQI_roll_mean_3,0.4675,2026-04-15 13:41:29
六盘水,AQI_lag_1,0.4047,2026-04-15 13:41:29
