城市,riskScore,riskLevel,maxAQI24h,meanAQI24h,exceedHours,severeHours
金昌,18.5,低风险,54.4,54.3,0,0
张掖,18.5,低风险,54.4,54.3,0,0
乌海,18.3,低风险,53.9,53.8,0,0
朔州,18.3,低风险,53.9,53.8,0,0
银川,18.2,低风险,53.6,53.5,0,0
天津,18.2,低风险,53.6,53.5,0,0
阿拉善盟,18.2,低风险,53.6,53.5,0,0
石家庄,18.2,低风险,53.6,53.5,0,0
唐山,18.2,低风险,53.6,53.5,0,0
丹东,18.1,低风险,53.3,53.0,0,0
喀什地区,18.0,低风险,53.1,53.0,0,0
酒泉,18.0,低风险,53.1,53.0,0,0
廊坊,18.0,低风险,53.1,53.0,0,0
克孜勒苏柯尔克孜自治州,18.0,低风险,53.1,53.0,0,0
大同,18.0,低风险,53.0,52.9,0,0
承德,17.9,低风险,52.6,52.6,0,0
包头,17.9,低风险,52.8,52.7,0,0
营口,17.9,低风险,52.8,52.7,0,0
鞍山,17.9,低风险,52.8,52.7,0,0
阿克苏地区,17.9,低风险,52.6,52.6,0,0
巴彦淖尔,17.9,低风险,52.8,52.7,0,0
葫芦岛,17.9,低风险,52.8,52.7,0,0
沈阳,17.9,低风险,52.6,52.6,0,0
锦州,17.9,低风险,52.8,52.7,0,0
张家口,17.9,低风险,52.8,52.7,0,0
乌兰察布,17.9,低风险,52.8,52.7,0,0
北京,17.8,低风险,52.5,52.4,0,0
秦皇岛,17.8,低风险,52.3,52.2,0,0
盘锦,17.7,低风险,52.0,51.9,0,0
抚顺,17.6,低风险,51.7,51.6,0,0
辽阳,17.6,低风险,51.8,51.8,0,0
白山,17.6,低风险,51.9,51.8,0,0
嘉峪关,17.5,低风险,51.6,51.5,0,0
鄂尔多斯,17.5,低风险,51.6,51.5,0,0
本溪,17.4,低风险,51.1,51.0,0,0
朝阳,17.4,低风险,51.1,51.0,0,0
铁岭,17.4,低风险,51.2,51.1,0,0
呼和浩特,17.4,低风险,51.1,51.1,0,0
通化,17.3,低风险,51.0,50.9,0,0
巴音郭楞蒙古自治州,17.3,低风险,51.0,50.9,0,0
吐鲁番,17.1,低风险,50.2,50.2,0,0
赤峰,17.1,低风险,50.3,50.2,0,0
阜新,17.1,低风险,50.4,50.3,0,0
伊犁哈萨克自治州,16.8,低风险,49.5,49.5,0,0
石河子,16.8,低风险,49.5,49.5,0,0
辽源,16.8,低风险,49.4,49.3,0,0
延边朝鲜族自治州,16.8,低风险,49.3,49.2,0,0
哈密,16.8,低风险,49.3,49.2,0,0
乌鲁木齐,16.7,低风险,49.1,49.0,0,0
四平,16.7,低风险,49.0,48.9,0,0
吉林,16.7,低风险,49.3,49.1,0,0
长春,16.7,低风险,49.1,49.1,0,0
通辽,16.7,低风险,49.0,48.9,0,0
七台河,16.6,低风险,48.8,48.7,0,0
绥化,16.4,低风险,48.2,48.1,0,0
牡丹江,16.3,低风险,48.0,47.9,0,0
锡林郭勒盟,16.3,低风险,48.0,47.9,0,0
松原,16.3,低风险,48.0,47.9,0,0
鸡西,16.2,低风险,47.6,47.6,0,0
白城,16.2,低风险,47.6,47.5,0,0
大庆,16.2,低风险,47.8,47.8,0,0
双鸭山,16.2,低风险,47.8,47.7,0,0
博尔塔拉蒙古自治州,16.2,低风险,47.7,47.6,0,0
昌吉回族自治州,16.2,低风险,47.7,47.6,0,0
兴安盟,16.2,低风险,47.8,47.8,0,0
哈尔滨,16.1,低风险,47.3,47.2,0,0
克拉玛依,16.0,低风险,47.2,47.1,0,0
塔城地区,15.9,低风险,46.7,46.7,0,0
佳木斯,15.8,低风险,46.4,46.3,0,0
齐齐哈尔,15.6,低风险,46.0,45.9,0,0
鹤岗,15.6,低风险,46.0,45.9,0,0
黑河,15.5,低风险,45.5,45.4,0,0
阿勒泰地区,15.5,低风险,45.7,45.6,0,0
伊春,15.3,低风险,45.0,44.9,0,0
呼伦贝尔,14.8,低风险,43.6,43.5,0,0
大兴安岭地区,14.7,低风险,43.1,43.1,0,0
