城市,日期,平均AQI,峰值AQI,污染等级,预警颜色,预警提示
乌鲁木齐,2026-03-28,49.0,49.1,优,绿色,无预警
乌鲁木齐,2026-03-29,49.0,49.1,优,绿色,无预警
乌鲁木齐,2026-03-30,49.0,49.1,优,绿色,无预警
乌鲁木齐,2026-03-31,49.0,49.1,优,绿色,无预警
乐山,2026-03-25,61.0,61.1,良,黄色,无预警
乐山,2026-03-26,61.0,61.1,良,黄色,无预警
乐山,2026-03-27,61.0,61.1,良,黄色,无预警
乐山,2026-03-28,61.0,61.1,良,黄色,无预警
乐山,2026-03-29,61.0,61.1,良,黄色,无预警
乐山,2026-03-30,61.0,61.1,良,黄色,无预警
乐山,2026-03-31,61.0,61.1,良,黄色,无预警
九江,2026-03-25,60.9,60.9,良,黄色,无预警
九江,2026-03-26,60.8,60.9,良,黄色,无预警
九江,2026-03-27,60.8,60.9,良,黄色,无预警
九江,2026-03-28,60.8,60.9,良,黄色,无预警
九江,2026-03-29,60.8,60.9,良,黄色,无预警
九江,2026-03-30,60.8,60.9,良,黄色,无预警
九江,2026-03-31,60.8,60.9,良,黄色,无预警
云浮,2026-03-25,67.1,67.2,良,黄色,无预警
云浮,2026-03-26,67.1,67.2,良,黄色,无预警
云浮,2026-03-27,67.1,67.2,良,黄色,无预警
云浮,2026-03-28,67.1,67.2,良,黄色,无预警
云浮,2026-03-29,67.1,67.2,良,黄色,无预警
云浮,2026-03-30,67.1,67.2,良,黄色,无预警
云浮,2026-03-31,67.1,67.2,良,黄色,无预警
亳州,2026-03-25,57.1,57.2,良,黄色,无预警
亳州,2026-03-26,57.1,57.2,良,黄色,无预警
亳州,2026-03-27,57.1,57.2,良,黄色,无预警
亳州,2026-03-28,57.1,57.2,良,黄色,无预警
亳州,2026-03-29,57.1,57.2,良,黄色,无预警
亳州,2026-03-30,57.1,57.2,良,黄色,无预警
亳州,2026-03-31,57.1,57.2,良,黄色,无预警
伊春,2026-03-25,44.9,45.0,优,绿色,无预警
伊春,2026-03-26,44.9,45.0,优,绿色,无预警
伊春,2026-03-27,44.9,45.0,优,绿色,无预警
伊春,2026-03-28,44.9,45.0,优,绿色,无预警
伊春,2026-03-29,44.9,45.0,优,绿色,无预警
伊春,2026-03-30,44.9,45.0,优,绿色,无预警
伊春,2026-03-31,44.9,45.0,优,绿色,无预警
伊犁哈萨克自治州,2026-03-25,49.5,49.5,优,绿色,无预警
伊犁哈萨克自治州,2026-03-26,49.5,49.5,优,绿色,无预警
伊犁哈萨克自治州,2026-03-27,49.5,49.5,优,绿色,无预警
伊犁哈萨克自治州,2026-03-28,49.5,49.5,优,绿色,无预警
伊犁哈萨克自治州,2026-03-29,49.5,49.5,优,绿色,无预警
伊犁哈萨克自治州,2026-03-30,49.5,49.5,优,绿色,无预警
伊犁哈萨克自治州,2026-03-31,49.5,49.5,优,绿色,无预警
佛山,2026-03-25,67.0,67.1,良,黄色,无预警
佛山,2026-03-26,67.0,67.1,良,黄色,无预警
佛山,2026-03-27,67.0,67.1,良,黄色,无预警
佛山,2026-03-28,67.0,67.1,良,黄色,无预警
佛山,2026-03-29,67.0,67.1,良,黄色,无预警
佛山,2026-03-30,67.0,67.1,良,黄色,无预警
佛山,2026-03-31,67.0,67.1,良,黄色,无预警
佳木斯,2026-03-25,46.3,46.4,优,绿色,无预警
佳木斯,2026-03-26,46.3,46.4,优,绿色,无预警
佳木斯,2026-03-27,46.3,46.4,优,绿色,无预警
佳木斯,2026-03-28,46.3,46.4,优,绿色,无预警
佳木斯,2026-03-29,46.3,46.4,优,绿色,无预警
佳木斯,2026-03-30,46.3,46.4,优,绿色,无预警
佳木斯,2026-03-31,46.3,46.4,优,绿色,无预警
保定,2026-03-25,54.3,54.5,良,黄色,无预警
保定,2026-03-26,54.3,54.4,良,黄色,无预警
保定,2026-03-27,54.3,54.4,良,黄色,无预警
保定,2026-03-28,54.3,54.4,良,黄色,无预警
保定,2026-03-29,54.3,54.4,良,黄色,无预警
保定,2026-03-30,54.3,54.4,良,黄色,无预警
保定,2026-03-31,54.3,54.4,良,黄色,无预警
保山,2026-03-25,63.7,63.9,良,黄色,无预警
保山,2026-03-26,63.7,63.8,良,黄色,无预警
保山,2026-03-27,63.7,63.8,良,黄色,无预警
保山,2026-03-28,63.7,63.8,良,黄色,无预警
保山,2026-03-29,63.7,63.8,良,黄色,无预警
保山,2026-03-30,63.7,63.8,良,黄色,无预警
保山,2026-03-31,63.7,63.8,良,黄色,无预警
信阳,2026-03-25,59.2,59.2,良,黄色,无预警
信阳,2026-03-26,59.2,59.2,良,黄色,无预警
信阳,2026-03-27,59.2,59.2,良,黄色,无预警
信阳,2026-03-28,59.2,59.2,良,黄色,无预警
